rank,score,tournament_id,name,event_date,series,flagged_classes,top_flags
67,72.0,689,第1回白瀧杯女流かるた高校選手権大会,,白瀧杯女流高校選手権,2,A(A):相手未解決42%(13件); 優勝者導出なし / B(B):相手未解決39%(13件); 優勝者導出なし
68,72.0,789,第46回 全国競技かるた大分大会結果表,2017-11-26,大分大会,2,D(D):相手未解決97%(178件); 優勝者導出なし / E(E):相手未解決83%(88件); 優勝者導出なし
69,72.0,862,第5回米国かるた大会,2021-07-18,米国大会,2,有段者部門(-):相手未解決100%(24件); 優勝者導出なし / 無段者部門(-):相手未解決100%(12件); 優勝者導出なし
70,72.0,946,第37回 全国競技かるた小学生選手権大会 結果報告表,2024-01-21,小学生選手権,2,C(C):相手未解決74%(23件); 優勝者導出なし / D(D):相手未解決37%(19件); 優勝者導出なし
71,66.8,744,第33回小倉百人一首競技かるた小山大会 A級,2015-08-02,小山大会,6,E(E):相手未解決6%(6件); ミラー欠落7%(6件); 優勝者導出なし / シニア級(-):相手未解決6%(3件); ミラー欠落7%(3件); 優勝者導出なし / D(D):相手未解決3%(2件); ミラー欠落3%(2件); 優勝者導出なし
72,66.0,1235,第1回競技かるた初段認定徳島大会,2022-03-20,初段認定徳島大会,1,詳報(-):相手未解決53%(54件); ミラー欠落54%(26件); 優勝者導出なし
73,65.0,1137,"第8回全国競技かるた秋田大会(A,B,C,D)",2025-10-05,秋田大会,4,C(C):相手未解決20%(31件); 優勝者導出なし / B(B):相手未解決16%(17件) / D(D):相手未解決8%(9件); 優勝者導出なし
74,63.5,649,第26回全国選抜かるた大会,2011-03-13,全国選抜大会,1,Ａ 級(A):相手未解決28%(19件); ミラー欠落36%(17件); 優勝者導出なし
75,62.9,888,第36回滋賀県競技かるた大会,,滋賀県大会,1,F級(-):相手未解決21%(12件); ミラー欠落27%(12件); 無対戦参加者22%(6人)
76,62.6,672,第21回埼玉県百人一首大会,2012-09-23,埼玉県大会,4,Ｅ級(E):相手未解決17%(45件); 優勝者導出なし / 入門級(-):相手未解決10%(29件); 優勝者導出なし / Ｃ級(C):相手未解決15%(16件)
77,60.9,1360,第36回 全国競技かるた小学生選手権大会 結果報告表,2023-01-22,小学生選手権,2,D(D):相手未解決18%(10件); ミラー欠落7%(3件); 優勝者導出なし / C(C):相手未解決70%(7件)
78,60.3,1463,第2回全国競技かるた山梨大会,2024-06-02,山梨大会,1,A級(A):相手未解決24%(41件); ミラー欠落40%(51件); 優勝者導出なし
79,60.2,652,第12回百人一首かるた杉並大会,,杉並大会,4,源平(-):無対戦参加者50%(16人) / D(D):相手未解決10%(11件); 優勝者導出なし / E(E):相手未解決9%(13件); 優勝者導出なし
80,60.0,1327,"第22回全国競技かるた愛知大会(B,C・12/10)",2022-12-10,愛知大会,3,-(-):無対戦参加者100%(37人) / B1(B):無対戦参加者100%(42人) / B2(B):無対戦参加者100%(41人)
81,59.7,782,第30回 全国競技かるた小学生選手権大会,,小学生選手権,2,C(C):相手未解決62%(18件) / D(D):相手未解決30%(22件)
82,58.8,1025,"第7回全国競技かるた秋田大会(D,E)",2024-09-22,秋田大会,2,E(E):相手未解決30%(57件); 優勝者導出なし / D(D):相手未解決17%(18件); 優勝者導出なし
83,58.2,705,第44回全国小・中学生かるた選手権大会,2014-03-23,小・中学生選手権,2,小学６年生級(-):相手未解決22%(27件); ミラー欠落30%(27件) / 小学２年生以下級(-):相手未解決3%(3件); ミラー欠落3%(2件)
84,58.0,1145,第84回全国競技かるた北國大会,2025-10-25,北國大会,5,E級(E):相手未解決28%(80件); 優勝者導出なし / A級(A):優勝者導出なし / B級(B):優勝者導出なし
85,57.0,1432,第6回全国競技かるた秋田大会,2023-10-01,秋田大会,4,B(B):同round重複12件; 優勝者導出なし / C(C):同round重複10件; 優勝者導出なし / D(D):同round重複4件
86,56.7,1505,第1回競技かるた初段認定長野大会,2022-03-13,初段認定長野大会,1,初段認定(-):相手未解決21%(24件); ミラー欠落30%(28件); 優勝者導出なし
